MHC,Identity,WB,"NA",SB,total,SB_pct,WB_pct,Binder_pct
HLA-DPA10103-DPB11301,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-12,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-16,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-18,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-22,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-27,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-32,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB11301,csp-35,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-36,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11301,csp-39,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-47,0,96,0,96,0,0,0
