SampleID	SampleName	MarkerID	BarcodePair	ReadNumbers	FileR1	FileR2
sk108-1_S23	sk108-1_S23	msp1		0	data/sk108-1_S23_L001_R1_001.fastq.gz	data/sk108-1_S23_L001_R2_001.fastq.gz
sk108-2_S24	sk108-2_S24	csp		0	data/sk108-2_S24_L001_R1_001.fastq.gz	data/sk108-2_S24_L001_R2_001.fastq.gz
sk119-1_S25	sk119-1_S25	msp1		0	data/sk119-1_S25_L001_R1_001.fastq.gz	data/sk119-1_S25_L001_R2_001.fastq.gz
sk119-2_S26	sk119-2_S26	csp		0	data/sk119-2_S26_L001_R1_001.fastq.gz	data/sk119-2_S26_L001_R2_001.fastq.gz
sk125-1_S27	sk125-1_S27	msp1		0	data/sk125-1_S27_L001_R1_001.fastq.gz	data/sk125-1_S27_L001_R2_001.fastq.gz
sk125-2_S28	sk125-2_S28	csp		0	data/sk125-2_S28_L001_R1_001.fastq.gz	data/sk125-2_S28_L001_R2_001.fastq.gz
sk142-1_S29	sk142-1_S29	msp1		0	data/sk142-1_S29_L001_R1_001.fastq.gz	data/sk142-1_S29_L001_R2_001.fastq.gz
sk142-2_S30	sk142-2_S30	csp		0	data/sk142-2_S30_L001_R1_001.fastq.gz	data/sk142-2_S30_L001_R2_001.fastq.gz
sk150-1_S31	sk150-1_S31	msp1		0	data/sk150-1_S31_L001_R1_001.fastq.gz	data/sk150-1_S31_L001_R2_001.fastq.gz
sk150-2_S32	sk150-2_S32	csp		0	data/sk150-2_S32_L001_R1_001.fastq.gz	data/sk150-2_S32_L001_R2_001.fastq.gz
sk154-1_S33	sk154-1_S33	msp1		0	data/sk154-1_S33_L001_R1_001.fastq.gz	data/sk154-1_S33_L001_R2_001.fastq.gz
sk154-2_S34	sk154-2_S34	csp		0	data/sk154-2_S34_L001_R1_001.fastq.gz	data/sk154-2_S34_L001_R2_001.fastq.gz
sk159-1_S35	sk159-1_S35	msp1		0	data/sk159-1_S35_L001_R1_001.fastq.gz	data/sk159-1_S35_L001_R2_001.fastq.gz
sk159-2_S36	sk159-2_S36	csp		0	data/sk159-2_S36_L001_R1_001.fastq.gz	data/sk159-2_S36_L001_R2_001.fastq.gz
sk162-1_S37	sk162-1_S37	msp1		0	data/sk162-1_S37_L001_R1_001.fastq.gz	data/sk162-1_S37_L001_R2_001.fastq.gz
sk162-2_S38	sk162-2_S38	csp		0	data/sk162-2_S38_L001_R1_001.fastq.gz	data/sk162-2_S38_L001_R2_001.fastq.gz
sk163-1_S39	sk163-1_S39	msp1		0	data/sk163-1_S39_L001_R1_001.fastq.gz	data/sk163-1_S39_L001_R2_001.fastq.gz
sk163-2_S40	sk163-2_S40	csp		0	data/sk163-2_S40_L001_R1_001.fastq.gz	data/sk163-2_S40_L001_R2_001.fastq.gz
sk166-1_S21	sk166-1_S21	msp1		0	data/sk166-1_S21_L001_R1_001.fastq.gz	data/sk166-1_S21_L001_R2_001.fastq.gz
sk166-2_S1	sk166-2_S1	csp		0	data/sk166-2_S1_L001_R1_001.fastq.gz	data/sk166-2_S1_L001_R2_001.fastq.gz
sk177-1_S22	sk177-1_S22	msp1		0	data/sk177-1_S22_L001_R1_001.fastq.gz	data/sk177-1_S22_L001_R2_001.fastq.gz
sk177-2_S2	sk177-2_S2	csp		0	data/sk177-2_S2_L001_R1_001.fastq.gz	data/sk177-2_S2_L001_R2_001.fastq.gz
sk179-1_S23	sk179-1_S23	msp1		0	data/sk179-1_S23_L001_R1_001.fastq.gz	data/sk179-1_S23_L001_R2_001.fastq.gz
sk179-2_S3	sk179-2_S3	csp		0	data/sk179-2_S3_L001_R1_001.fastq.gz	data/sk179-2_S3_L001_R2_001.fastq.gz
sk181-1_S24	sk181-1_S24	msp1		0	data/sk181-1_S24_L001_R1_001.fastq.gz	data/sk181-1_S24_L001_R2_001.fastq.gz
sk181-2_S4	sk181-2_S4	csp		0	data/sk181-2_S4_L001_R1_001.fastq.gz	data/sk181-2_S4_L001_R2_001.fastq.gz
sk189-1_S25	sk189-1_S25	msp1		0	data/sk189-1_S25_L001_R1_001.fastq.gz	data/sk189-1_S25_L001_R2_001.fastq.gz
sk189-2_S5	sk189-2_S5	csp		0	data/sk189-2_S5_L001_R1_001.fastq.gz	data/sk189-2_S5_L001_R2_001.fastq.gz
sk191-1_S26	sk191-1_S26	msp1		0	data/sk191-1_S26_L001_R1_001.fastq.gz	data/sk191-1_S26_L001_R2_001.fastq.gz
sk191-2_S6	sk191-2_S6	csp		0	data/sk191-2_S6_L001_R1_001.fastq.gz	data/sk191-2_S6_L001_R2_001.fastq.gz
sk196-1_S27	sk196-1_S27	msp1		0	data/sk196-1_S27_L001_R1_001.fastq.gz	data/sk196-1_S27_L001_R2_001.fastq.gz
sk196-2_S7	sk196-2_S7	csp		0	data/sk196-2_S7_L001_R1_001.fastq.gz	data/sk196-2_S7_L001_R2_001.fastq.gz
